"point","year","sm3_u1","night","species","ccounts","forest","y_coord","x_coord","mic_ht"
"213_7",2016,0,20160724,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"mylu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"tabr",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"lano",11,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"mylu",6,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myca",16,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"myev",1,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"mylu",2,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"myca",23,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"myev",1,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"labl",1,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"lano",4,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160618,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"lano",2,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"epfu",65,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"labl",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"mylu",3,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"myca",9,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"laci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"mylu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160714,"myvo",1,"plumas/lassen",40.14,121.06,2.5
